Date,Time,Home Team,Away,Network
20240103,11:00 AM,Providence College,DePaul University,BEDN on FloSports
20240103,7:00 PM,Butler University,Georgetown University,BEDN on FloSports
20240103,7:00 PM,Seton Hall University,Villanova University,BEDN on FloSports
20240103,7:00 PM,St. John's University,Marquette University,BEDN on FloSports
20240104,7:00 PM,Creighton University,UConn,SNY
20240106,2:00 PM,Butler University,Seton Hall University,BEDN on FloSports
20240106,3:00 PM,Marquette University,Xavier University,BEDN on FloSports
20240106,4:00 PM,DePaul University,Creighton University,FS1
20240106,6:00 PM,Providence College,St. John's University,FS1
20240107,1:30 PM,Georgetown University,UConn,SNY
20240109,7:00 PM,Xavier University,St. John's University,BEDN on FloSports
20240109,8:30 PM,Seton Hall University,Marquette University,FS1
20240110,11:30 AM,Villanova University,Georgetown University,BEDN on FloSports
20240110,7:00 PM,Creighton University,Butler University,BEDN on FloSports
20240110,6:30 PM,UConn,Providence College,SNY
20240113,4:00 PM,Xavier University,Seton Hall University,FS1
20240113,7:30 PM,Butler University,Villanova University,BEDN on FloSports
20240113,9:00 PM,Marquette University,DePaul University,CBSSN
20240113,2:00 PM,St. John's University,UConn,SNY
20240114,2:00 PM,Creighton University,Providence College,BEDN on FloSports
20240116,8:00 PM,DePaul University,Xavier University,BEDN on FloSports
20240117,7:00 PM,St. John's University,Butler University,BEDN on FloSports
20240117,7:00 PM,Providence College,Georgetown University,BEDN on FloSports
20240117,7:00 PM,Villanova University,Marquette University,BEDN on FloSports
20240118,8:30 PM,Seton Hall University,UConn,SNY
20240120,2:00 PM,Georgetown University,Xavier University,BEDN on FloSports
20240120,2:00 PM,UConn,DePaul University,SNY
20240121,12:00 PM,Villanova University,Creighton University,CBSSN
20240121,12:00 PM,Butler University,Providence College,FS1
20240122,6:30 PM,Seton Hall University,St. John's University,FS1
20240124,7:00 PM,Marquette University,UConn,SNY
20240124,7:00 PM,Providence College,Villanova University,BEDN on FloSports
20240124,7:00 PM,Georgetown University,Creighton University,BEDN on FloSports
20240124,7:00 PM,Xavier University,Butler University,BEDN on FloSports
20240125,8:00 PM,DePaul University,St. John's University,BEDN on FloSports
20240127,2:00 PM,Xavier University,Providence College,BEDN on FloSports
20240127,5:00 PM,Marquette University,Butler University,BEDN on FloSports
20240128,8:00 PM,UConn,Notre Dame,FOX
20240128,2:00 PM,St. John's University,Georgetown University,BEDN on FloSports
20240128,2:00 PM,Creighton University,Seton Hall University,CBSSN
20240128,2:00 PM,DePaul University,Villanova University,FS1
20240131,7:00 PM,St. John's University,Xavier University,BEDN on FloSports
20240131,7:00 PM,Creighton University,Marquette University,BEDN on FloSports
20240131,7:00 PM,Butler University,DePaul University,BEDN on FloSports
20240131,7:00 PM,Seton Hall University,Georgetown University,BEDN on FloSports
20240131,6:30 PM,Villanova University,UConn,SNY
20240203,2:00 PM,Providence College,Marquette University,BEDN on FloSports
20240203,2:00 PM,Villanova University,Seton Hall University,BEDN on FloSports
20240204,2:00 PM,Georgetown University,DePaul University,BEDN on FloSports
20240204,2:00 PM,Butler University,Creighton University,BEDN on FloSports
20240204,3:00 PM,UConn,St. John's University,CBS Sports Network
20240206,7:00 PM,Xavier University,Creighton University,BEDN on FloSports
20240207,8:00 PM,DePaul University,Providence College,BEDN on FloSports
20240207,9:00 PM,Marquette University,Georgetown University,FS1
20240208,7:00 PM,UConn,Seton Hall University,SNY
20240209,7:00 PM,Butler University,St. John's University,BEDN on FloSports
20240210,1:00 PM,Seton Hall University,Xavier University,BEDN on FloSports
20240210,3:00 PM,Marquette University,Villanova University,FOX
20240210,4:00 PM,Creighton University,DePaul University,BEDN on FloSports
20240210,7:00 PM,Georgetown University,Providence College,BEDN on FloSports
20240211,2:00 PM,UConn,South Carolina,ESPN
20240213,11:00 AM,Georgetown University,Villanova University,BEDN on FloSports
20240213,7:00 PM,St. John's University,Seton Hall University,BEDN on FloSports
20240213,8:00 PM,DePaul University,Marquette University,BEDN on FloSports
20240214,7:00 PM,Providence College,Butler University,BEDN on FloSports
20240215,7:00 PM,Xavier University,UConn,SNY
20240216,7:00 PM,St. John's University,Creighton University,BEDN on FloSports
20240217,7:00 PM,UConn,Georgetown University,SNY
20240217,1:00 PM,Seton Hall University,DePaul University,BEDN on FloSports
20240217,4:00 PM,Villanova University,Butler University,BEDN on FloSports
20240218,2:00 PM,Providence College,Xavier University,BEDN on FloSports
20240219,12:00 PM,UConn,Creighton University,FOX
20240220,7:00 PM,Georgetown University,St. John's University,BEDN on FloSports
20240220,8:00 PM,Marquette University,Seton Hall University,BEDN on FloSports
20240221,6:30 PM,Butler University,Xavier University,FS2
20240221,7:00 PM,Villanova University,Providence College,BEDN on FloSports
20240224,12:00 PM,Creighton University,Villanova University,FOX
20240224,2:00 PM,St. John's University,Providence College,BEDN on FloSports
20240224,2:00 PM,Xavier University,Marquette University,BEDN on FloSports
20240224,2:00 PM,Georgetown University,Butler University,BEDN on FloSports
20240225,6:00 PM,DePaul University,UConn,CBSSN
20240227,7:00 PM,Creighton University,Xavier University,BEDN on FloSports
20240227,8:30 PM,Marquette University,St. John's University,FS1
20240228,7:00 PM,Providence College,Seton Hall University,BEDN on FloSports
20240228,8:00 PM,DePaul University,Butler University,BEDN on FloSports
20240229,7:00 PM,UConn,Villanova University,SNY
20240302,2:00 PM,Xavier University,Georgetown University,BEDN on FloSports
20240302,3:00 PM,Butler University,Marquette University,BEDN on FloSports
20240303,7:00 PM,Providence College,UConn,SNY
20240303,3:00 PM,Seton Hall University,Creighton University,FS1
20240303,5:00 PM,Villanova University,DePaul University,FS1
